name,family,features,C,micro_f1,macro_f1,weighted_f1,samples_f1,micro_precision,micro_recall,hamming_loss,subset_accuracy,class_weight,training_seconds
svm_word_char_c1,linear_svm,word_char,1.0,0.8335842114065898,0.7819856084293392,0.8323206132520653,0.8148572299689508,0.8248924197285668,0.8424611223799865,0.026002874689664186,0.7322618580948648,balanced,4.098738280000134
svm_word_bigram_c1,linear_svm,word_bigram,1.0,0.8272772523643603,0.7694574606315204,0.8259787336421324,0.8103277270662609,0.8123167155425219,0.8427991886409736,0.027205017640141122,0.7181497451979616,balanced,0.8163189379999949
svm_word_bigram_c2,linear_svm,word_bigram,2.0,0.8280060882800608,0.7685343649981754,0.8261005207227826,0.8036618070722342,0.8284263959390863,0.8275862068965517,0.02657781262250098,0.7263818110544884,balanced,0.9913550009998744
lr_word_char_c2,logistic_regression,word_char,2.0,0.8146067415730337,0.7657114141406789,0.8167238643435628,0.820048471498883,0.7565217391304347,0.8823529411764706,0.031046648373186984,0.6758134065072521,balanced,33.411604161000014
svm_word_bigram_c05,linear_svm,word_bigram,0.5,0.8219579736113374,0.765652998728304,0.8214391378383805,0.8110289771207059,0.7931468091795033,0.8529411764705882,0.028563961845028095,0.7028616228929832,balanced,0.7981780420000177
lr_word_bigram_c2,logistic_regression,word_bigram,2.0,0.7986911810532876,0.7426386180634393,0.8011573516073477,0.8031518918818017,0.7407514450867052,0.8664638269100744,0.03376453678296093,0.6562132497059977,balanced,22.373069864999934
lr_word_bigram_c1,logistic_regression,word_bigram,1.0,0.7834326761424423,0.723824771530336,0.7872311183442172,0.790077965068165,0.7149232914923291,0.8664638269100744,0.03703122958317,0.617796942375539,balanced,25.76064981100012
lr_word_bigram_c05,logistic_regression,word_bigram,0.5,0.7673371359951966,0.7065616492777129,0.7723786272878385,0.7769816380753268,0.6900647948164147,0.8640973630831643,0.04050699072259245,0.5840846726773814,balanced,18.58317060699983
lr_word_unigram_c1,logistic_regression,word_unigram,1.0,0.7628475760663852,0.6997234928259306,0.7693326522072305,0.7807442459539676,0.6699053950396318,0.8857336037863421,0.04257154057232458,0.5609564876519012,balanced,0.5348954819999108
lr_word_bigram_c2_unweighted,logistic_regression,word_bigram,2.0,0.7515127067365873,0.5935997492070885,0.7346134984482318,0.640094454088966,0.9315,0.6298174442190669,0.032196524238860574,0.6103488827910624,,34.83404690900011
most_frequent_label_set,trivial_baseline,none,,0.1844254855690688,0.02214231230249537,0.05704003372042418,0.19508689402848556,0.1991375931007448,0.17173766058147397,0.11741800601071475,0.18698549588396707,,
