tactic,true_negative,false_positive,false_negative,true_positive
collection,3091,58,48,194
command-and-control,2865,62,60,404
credential-access,3180,22,41,148
defense-impairment,3201,46,41,103
discovery,2639,78,67,607
execution,2819,95,75,402
exfiltration,3286,31,13,61
impact,3282,22,25,62
initial-access,3236,35,26,94
lateral-movement,3297,18,22,54
persistence,3035,61,50,245
privilege-escalation,3026,62,47,256
reconnaissance,3357,5,16,13
resource-development,3280,21,31,59
stealth,2572,112,102,605
