text,true_labels,predicted_labels,missed_labels,extra_labels,largest_decision_margin,source_name,source_type,technique_id,technique_name
APT19 configured its payload to inject into the rundll32.exe.,stealth,privilege-escalation|stealth,,privilege-escalation,3.1849984214690057,APT19,intrusion-set,T1218.011,Rundll32
"Pupy can send screenshots files, keylogger data, files, and recorded audio back to the C2 server.",exfiltration,collection|exfiltration,,collection,3.0688039365914026,Pupy,tool,T1041,Exfiltration Over C2 Channel
"LockBit 3.0 can change the Registry values for Group Policy refresh time, to disable SmartScreen, and to disable Windows Defender.",defense-impairment|persistence,defense-impairment,persistence,,2.5253371794019874,LockBit 3.0,malware,T1112,Modify Registry
Qilin has been delivered to victims through spearphishing emails with malicious attachments.,execution,initial-access,execution,initial-access,2.3854521823719703,Qilin,malware,T1204.002,Malicious File
Lizar has used the Reflective DLL injection module from Github to inject itself into a process’s memory.,stealth,privilege-escalation|stealth,,privilege-escalation,2.3276221245498983,Lizar,malware,T1620,Reflective Code Loading
Grandoreiro can write or modify browser shortcuts to enable launching of malicious browser extensions.,persistence|privilege-escalation,defense-impairment|persistence,privilege-escalation,defense-impairment,2.304520251752413,Grandoreiro,malware,T1547.009,Shortcut Modification
Latrodectus can set an AutoRun key to establish persistence.,persistence|privilege-escalation,initial-access|persistence|privilege-escalation,,initial-access,2.2795748410721552,Latrodectus,malware,T1547.001,Registry Run Keys / Startup Folder
APT29 has gained access to a global administrator account in Azure AD and has used `Service Principal` credentials in Exchange.,initial-access|persistence|privilege-escalation|stealth,credential-access|initial-access|persistence|privilege-escalation|stealth,,credential-access,2.2697520380496408,APT29,intrusion-set,T1078.004,Cloud Accounts
GrimAgent can sleep for 195 - 205 seconds after payload execution and before deleting its task.,discovery|stealth,stealth,discovery,,2.202531804130591,GrimAgent,malware,T1497.003,Time Based Checks
GRIFFON has used sctasks for persistence.,execution|persistence|privilege-escalation,persistence|privilege-escalation,execution,,2.088877908182547,GRIFFON,malware,T1053.005,Scheduled Task
APT38 has used web shells for persistence or to ensure redundant access.,persistence,persistence|privilege-escalation,,privilege-escalation,2.0721012560447027,APT38,intrusion-set,T1505.003,Web Shell
Latrodectus can use the Windows Component Object Model (COM) to set scheduled tasks.,execution,execution|privilege-escalation,,privilege-escalation,2.0654878959423377,Latrodectus,malware,T1559.001,Component Object Model
StrelaStealer payloads have used control flow obfuscation techniques such as excessively long code blocks of mathematical instructions to defeat sandboxing and related analysis methods.,discovery|stealth,stealth,discovery,,2.053766290140315,StrelaStealer,malware,T1497,Virtualization/Sandbox Evasion
TEARDROP modified the Registry to create a Windows service for itself on a compromised host.,defense-impairment|persistence,defense-impairment|persistence|privilege-escalation,,privilege-escalation,2.0213918352798093,TEARDROP,malware,T1112,Modify Registry
"During Operation Dream Job, Lazarus Group used tools that conducted a variety of system checks to detect sandboxes or VMware services.",discovery|stealth,discovery,stealth,,1.9931896554568882,Operation Dream Job,campaign,T1497.001,System Checks
FIN13 has created MS-SQL local accounts in a compromised network.,persistence,initial-access|persistence|privilege-escalation,,initial-access|privilege-escalation,1.9543438502162982,FIN13,intrusion-set,T1136.001,Local Account
Dtrack can remove its persistence and delete itself.,stealth,persistence|stealth,,persistence,1.950131709891878,Dtrack,malware,T1070.004,File Deletion
EXOTIC LILY has relied on victims to open malicious links in e-mails for execution.,initial-access,execution,initial-access,execution,1.92292284687709,EXOTIC LILY,intrusion-set,T1566.002,Spearphishing Link
Akira uses compromised VPN accounts for initial access to victim networks.,initial-access|persistence,initial-access|persistence|privilege-escalation|stealth,,privilege-escalation|stealth,1.8989433784842547,Akira,intrusion-set,T1133,External Remote Services
RGDoor establishes persistence on webservers as an IIS module.,persistence,persistence|privilege-escalation,,privilege-escalation,1.8884227244673177,RGDoor,malware,T1505.004,IIS Components
ShimRat can hijack the cryptbase.dll within migwiz.exe to escalate privileges and bypass UAC controls.,execution|stealth,privilege-escalation|stealth,execution,privilege-escalation,1.8794886344539743,ShimRat,malware,T1574,Hijack Execution Flow
Lateral movement can be done with Net through net use commands to connect to the on remote systems.,lateral-movement,command-and-control|lateral-movement,,command-and-control,1.8523056576451322,Net,tool,T1021.002,SMB/Windows Admin Shares
