tactic,feature,weight,rank
collection,word__data,4.834301630177103,1
collection,word__files from,3.9017789564035725,2
collection,word__data from,3.8861007211786514,3
collection,word__capture,3.45252825707827,4
collection,word__from,3.4095481335122817,5
collection,word__compress,3.2860974651531767,6
collection,word__keylogging,3.2188262740003197,7
collection,word__keystrokes,3.0402504238746824,8
collection,char__log,2.7111190390986106,9
collection,word__screenshots,2.7072807704274644,10
collection,word__accessed,2.659833878675509,11
collection,word__files,2.656870047251815,12
collection,word__upload files,2.6040338461390506,13
collection,word__collected,2.5542201543194096,14
collection,char__ scre,2.5396189855335547,15
collection,word__keylogger,2.538621601685389,16
collection,char__ cap,2.5339665323628067,17
collection,word__exfiltration citation,2.5173454592909525,18
collection,char__scree,2.4908230530164364,19
collection,char__keyl,2.4835984997278002,20
command-and-control,word__c2,8.938341067186174,1
command-and-control,word__for c2,4.232162880538065,2
command-and-control,word__download,4.173895802258351,3
command-and-control,word__http,4.16363846136544,4
command-and-control,char__ c2,4.146468728000563,5
command-and-control,word__proxy,3.9136674981082766,6
command-and-control,word__can download,3.6505405166022324,7
command-and-control,char__c2 ,3.3164490864552763,8
command-and-control,word__traffic,3.2846911049382586,9
command-and-control,word__to compromised,3.2660487754766727,10
command-and-control,char__ c2 ,3.250205906617176,11
command-and-control,word__c2 citation,3.200280740719447,12
command-and-control,word__has downloaded,3.1385776404777337,13
command-and-control,word__additional,3.0252018013468907,14
command-and-control,word__tcp,2.8821823992316435,15
command-and-control,char__ http,2.852400874680384,16
command-and-control,char__ htt,2.852400874680384,17
command-and-control,word__onto,2.808044492500585,18
command-and-control,char__ ht,2.7741888757182958,19
command-and-control,word__downloaded,2.682174440037698,20
credential-access,char__ ke,4.711276418959486,1
credential-access,char__key,4.391495466084366,2
credential-access,char__ key,4.166098143396731,3
credential-access,word__keystrokes,3.9201843196492776,4
credential-access,word__keylogging,3.6329161216179195,5
credential-access,word__passwords,3.6236809824126333,6
credential-access,word__credentials from,3.5902155114258933,7
credential-access,word__cookies,3.275194314605952,8
credential-access,char__oke,3.022851853846509,9
credential-access,word__credentials,2.9552212066141297,10
credential-access,char__eylog,2.813256535432179,11
credential-access,char__eyl,2.813256535432179,12
credential-access,char__eylo,2.813256535432179,13
credential-access,char__ylogg,2.813256535432179,14
credential-access,char__keylo,2.813256535432179,15
credential-access,char__ keyl,2.813256535432179,16
credential-access,char__keyl,2.813256535432179,17
credential-access,char__ylog,2.7899993595001593,18
credential-access,word__keylogger,2.660589418476614,19
credential-access,word__credential,2.65971283121496,20
defense-impairment,word__registry,4.9402948429501645,1
defense-impairment,word__signed,4.407526879415066,2
defense-impairment,word__logs,3.824817293734841,3
defense-impairment,word__disable,3.430464474271291,4
defense-impairment,word__modify,3.286896992218418,5
defense-impairment,word__firewall,3.0079275301628314,6
defense-impairment,word__logging,2.8464219725875646,7
defense-impairment,char__sig,2.8317910754151407,8
defense-impairment,char__sign,2.822194754686488,9
defense-impairment,char__ disa,2.7751920196040754,10
defense-impairment,char__ sign,2.7681113181634096,11
defense-impairment,word__security,2.756491567094929,12
defense-impairment,char__ sig,2.749764220284116,13
defense-impairment,char__disa,2.7264079967522528,14
defense-impairment,char__disab,2.6980852659739956,15
