tactic,linear_svm_f1,distilbert_f1,distilbert_minus_svm
collection,0.7854251012145749,0.801762114537445,0.016337013322870075
command-and-control,0.8688172043010752,0.872852233676976,0.004035029375900723
credential-access,0.8245125348189415,0.7967032967032966,-0.02780923811564484
defense-impairment,0.7030716723549488,0.6832298136645962,-0.0198418586903526
discovery,0.8933038999264165,0.9112602535421327,0.017956353615716236
execution,0.8254620123203286,0.8125633232016211,-0.012898689118707507
exfiltration,0.7349397590361446,0.7948717948717948,0.05993203583565021
impact,0.7251461988304093,0.8045977011494253,0.07945150231901599
initial-access,0.7550200803212851,0.7540983606557377,-0.000921719665547438
lateral-movement,0.7297297297297297,0.7307692307692307,0.0010395010395010118
persistence,0.8153078202995009,0.757679180887372,-0.057628639412128924
privilege-escalation,0.8244766505636071,0.8105436573311368,-0.013932993232470325
reconnaissance,0.5531914893617021,0.5373134328358209,-0.015878056525881257
resource-development,0.6941176470588235,0.7878787878787878,0.09376114081996434
stealth,0.8497191011235955,0.8332160450387052,-0.016503056084890333
